related_ticker,ticker
LI,HMC
CYD,HMC
COO,HOLX
TFX,HOLX
AVTR,HOLX
ALC,HOLX
BAX,HOLX
BDX,HOLX
MMSI,HOLX
AZTA,HOLX
STVN,HOLX
ICUI,HOLX
MARA,HOOD
ETOR,HOOD
CLSK,HOOD
GLXY,HOOD
RIOT,HOOD
GS,HOOD
HUT,HOOD
GLXY.TO,HOOD
IREN,HOOD
IBKR,HOOD
FTDR,HRB
ROL,HRB
SCI,HRB
CSV,HRB
BFAM,HRB
MED,HRB
FOOD.TO,HRB
PLWN,HRB
MER.L,HRB
XPS.L,HRB
CAG,HRL
CPB,HRL
SJM,HRL
GIS,HRL
MKC,HRL
K,HRL
FLO,HRL
LW,HRL
KLG,HRL
KHC,HRL
MDLZ,HSY
TR,HSY
BARN.SW,HSY
CHLSY,HSY
LISP.SW,HSY
MDLZ.SN,HSY
RMCF,HSY
LISN.SW,HSY
KTF.F,HSY
LSPP.MU,HSY
NSANY,HYMTF
HMC,HYMTF
VWAGY,HYMTF
MZDAY,HYMTF
POAHY,HYMTF
TM,HYMTF
000270.KS,HYMTF
MBG.DE,HYMTF
HYUNDAI.NS,HYMTF
BMW.DE,HYMTF
WDAY,INTU
ADSK,INTU
ZM,INTU
FICO,INTU
SNOW,INTU
ADBE,INTU
BULL,INTU
CRM,INTU
NOW,INTU
APP,INTU
MNST,KDP
CCEP,KDP
COCO,KDP
STKL,KDP
PRMB,KDP
PEP,KDP
KOF,KDP
FIZZ,KDP
KO,KDP
COKE,KDP
GIS,KHC
CAG,KHC
CPB,KHC
HRL,KHC
K,KHC
BYND,KHC
BGS,KHC
SJM,KHC
FLO,KHC
MKC,KHC
CLX,KMB
CL,KMB
PG,KMB
UL,KMB
KVUE,KMB
CHD,KMB
NWL,KMB
COTY,KMB
NUS,KMB
EPC,KMB
PEP,KO
COKE,KO
CELH,KO
MNST,KO
KDP,KO
KOF,KO
CCEP,KO
COCO,KO
PRMB,KO
SHOT,KO
MHVYF,KWHIY
IHICY,KWHIY
8074.T,KWHIY
056190.KQ,KWHIY
370090.KQ,KWHIY
IHICF,KWHIY
459510.KQ,KWHIY
DUERF,KWHIY
SSM1.F,KWHIY
6016.T,KWHIY
KLG,K
CPB,K
GIS,K
HRL,K
SJM,K
MKC,K
CAG,K
LW,K
UTZ,K
KHC,K
KRVGD.IS,LDSVF
BRRLY,LDSVF
0QO7.IL,LDSVF
CLA-B.ST,LDSVF
BARN.SW,LDSVF
RSI.TO,LDSVF
MDLZ,LDSVF
HSY,LDSVF
CRSR,LOGI
CRCT,LOGI
SNDK,LOGI
NTAP,LOGI
SSYS,LOGI
HPQ,LOGI
WDC,LOGI
PSTG,LOGI
STX,LOGI
LNVGF,LOGI
066570.KS,LPL
SHCAY,LPL
003550.KS,LPL
VID.L,LPL
FEBO,LPL
SSUN.F,LPL
FOXX,LPL
GPRO,LPL
DBO.TO,LPL
005930.KS,LPL
LEI.BE,LRLCF
LEI.HM,LRLCF
DEL.WA,LRLCF
ESWB.F,LRLCF
J4D.F,LRLCF
10W.F,LRLCF
LEI.DE,LRLCF
UNVB.DU,LRLCF
UNLYF,LRLCF
ELAA.SG,LRLCF
BMWKY,MBGAF
VWAPY,MBGAF
BAMXF,MBGAF
VLKAF,MBGAF
HMC,MBGAF
ARGGY,MBGAF
STLA,MBGAF
VWAGY,MBGAF
BMW.DE,MBGAF
MZDAY,MBGAF
QVCGB,MCARY
QVCGA,MCARY
ETSY,MCARY
JD,MCARY
CPNG,MCARY
SE,MCARY
CHWY,MCARY
MELI,MCARY
BABA,MCARY
AMZN,MCARY
SBUX,MCD
CMG,MCD
DPZ,MCD
CAVA,MCD
BROS,MCD
YUM,MCD
WEN,MCD
QSR,MCD
TXRH,MCD
SHAK,MCD
HSY,MDLZ
TR,MDLZ
BARN.SW,MDLZ
LISP.SW,MDLZ
CHLSY,MDLZ
BCLN.SG,MDLZ
LISN.SW,MDLZ
RSI.TO,MDLZ
LISPz.XC,MDLZ
0QP1.IL,MDLZ
GOOG,META
GOOGL,META
RDDT,META
NBIS,META
BIDU,META
SPOT,META
DJT,META
SNAP,META
PINS,META
DASH,META
MWIIX,MHJ
MSSGX,MHJ
MFLLX,MHJ
MPEGX,MHJ
MACGX,MHJ
MMCGX,MHJ
MIGPX,MHJ
MIGIX,MHJ
TVRVX,MHJ
TARZX,MHJ
TAREX,MHJ
BIVIX,MHJ
BIVRX,MHJ
BIVSX,MHJ
INPIX,MHJ
INPSX,MHJ
EVDIX,MHJ
BPTIX,MHJ
BPTRX,MHJ
EVDAX,MHJ
WWSIX,MHJ
WWSAX,MHJ
WESCX,MHJ
PGKCX,MHJ
FTVCX,MHJ
PGKAX,MHJ
HIMDX,MHJ
FTVAX,MHJ
HFMDX,MHJ
PGKZX,MHJ
PGKRX,MHJ
SNWIX,MHJ
SNWRX,MHJ
FTXSX,MHJ
NEAIX,MHJ
FTXFX,MHJ
FTXAX,MHJ
NEAGX,MHJ
FTXNX,MHJ
FTXCX,MHJ
SNWAX,MHJ
FTSAX,MHJ
BGSAX,MHJ
CYPIX,MHJ
BGSIX,MHJ
BTEKX,MHJ
CYPSX,MHJ
QAACX,MHJ
BGSRX,MHJ
BSTSX,MHJ
FSTRX,MHJ
QRLVX,MHJ
QCACX,MHJ
QIACX,MHJ
QKACX,MHJ
FTSIX,MHJ
RYAVX,MHJ
RYMVX,MHJ
BIOIX,MHJ
BIOUX,MHJ
BIOPX,MHJ
RYGBX,MHJ
RYMMX,MHJ
FMSTX,MHJ
FSTKX,MHJ
QCLVX,MHJ
FSTLX,MHJ
ALAFX,MHJ
ALZFX,MHJ
ALCFX,MHJ
ALGRX,MHJ
ALGYX,MHJ
ACFOX,MHJ
ACFSX,MHJ
ACFDX,MHJ
UBVCX,MHJ
LDVIX,MHJ
UBVUX,MHJ
UBVSX,MHJ
UBVRX,MHJ
UBVVX,MHJ
UBVLX,MHJ
UBVTX,MHJ
QRSVX,MHJ
UBVFX,MHJ
BFGIX,MHJ
BFGUX,MHJ
UBVAX,MHJ
TNVAX,MHJ
BFGFX,MHJ
LDVAX,MHJ
DHLTX,MHJ
MIOFX,MHJ
DHTYX,MHJ
DHTAX,MHJ
TNVIX,MHJ
UPDDX,MHJ
BSCUX,MHJ
BSFIX,MHJ
GMCFX,MHJ
PLTR,MSFT
PANW,MSFT
CRWV,MSFT
CRWD,MSFT
ORCL,MSFT
XYZ,MSFT
AI,MSFT
NET,MSFT
AFRM,MSFT
ZS,MSFT
WSO,MSM
REZI,MSM
GIC,MSM
CNM,MSM
DSGR,MSM
WCC-PA,MSM
DNOW,MSM
BXC,MSM
SITE,MSM
AIT,MSM
GS,MS
SCHW,MS
IBKR,MS
HOOD,MS
JEF,MS
GLXY,MS
ETOR,MS
BGC,MS
MARA,MS
FUTU,MS
CCL,NCLH
RCL,NCLH
VIK,NCLH
ABNB,NCLH
TCOM,NCLH
CUK,NCLH
EXPE,NCLH
TRIP,NCLH
BKNG,NCLH
CCL.L,NCLH
DIS,NFLX
AMC,NFLX
ROKU,NFLX
SIRI,NFLX
WBD,NFLX
BLMZ,NFLX
MANU,NFLX
PARA,NFLX
IQ,NFLX
LYV,NFLX
DECK,NKE
ONON,NKE
CROX,NKE
SKX,NKE
ADS.DE,NKE
BIRK,NKE
PUM.DE,NKE
ADDYY,NKE
AREB,NKE
WWW,NKE
TRVG,NRDS
SSTK,NRDS
EVER,NRDS
ANGI,NRDS
GETY,NRDS
SEAT,NRDS
TZOO,NRDS
BMBL,NRDS
UPWK,NRDS
GROMW,NRDS
MMTOF,NSANF
MMTOY,NSANF
MZDAF,NSANF
BMW3.F,NSANF
HNDAF,NSANF
NWTNW,NSANF
TOYOF,NSANF
VWAPY,NSANF
BMWKY,NSANF
FUJHY,NSANF
BIKAJI.BO,NSRGF
MRRTY,NSRGF
NESTLEIND.NS,NSRGF
JJSF,NSRGF
JVA,NSRGF
THS,NSRGF
BRFS,NSRGF
SFD,NSRGF
UTZ,NSRGF
K,NSRGF
EA,NTDOY
TTWO,NTDOY
NTES,NTDOY
UBI.PA,NTDOY
RBLX,NTDOY
UBSFY,NTDOY
SGAMY,NTDOY
EMBRAC-B.ST,NTDOY
9697.T,NTDOY
SOHU,NTDOY
SNY,NVS
AZN,NVS
GSK,NVS
RHHBY,NVS
AMGN,NVS
ROG.SW,NVS
BMY,NVS
GILD,NVS
MRK,NVS
ABBV,NVS
MWIIX,NWFAX
